Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
EUR 14900;Fishing Boat;Vizion power boats;new boat from stock;;4.7;1.95;Aluminium;Germany; Berlin
EUR 14900;Cabin Boat,Classic;;Used boat;;8.25;2.65;Wood;Netherlands; Sneek
EUR 14900;Flybridge;Draco power boats;Used boat;;9.1;3.14;GRP;Italy; Friuli Venezia Giulia
EUR 14900;Cabin Boat;Hilter power boats;Used boat;;7.9;2.5;GRP;Germany; Bayern
EUR 14900;Deck Boat;Jeanneau power boats;Used boat;;5.15;2.15;PVC;France;
EUR 14900;Center console boat;Ultramar power boats;Used boat;;5.3;1.96;;Germany; Bönningstedt
EUR 14900;Trawler;;Used boat;;10.3;3.0;Steel;Netherlands; In verkoophaven
EUR 14900;Pontoon Boat;Ranieri International power boats;new boat from stock;;5.55;2.18;GRP;Switzerland; Lugano 
EUR 14900;Trawler;;Used boat;;8.3;3.0;Steel;Netherlands; Sneek
EUR 14900;Cabin Boat;Jeanneau power boats;Used boat;;5.0;2.1;GRP;Germany; 25488 Holm
EUR 15500;Cabin Boat;Seaswirl power boats;Used boat;;6.5;2.5;GRP;Germany; Genthin
EUR 15500;Deck Boat;;new boat from stock;;5.53;2.18;;Italy; Venezia
EUR 15500;Sport Boat;Maxum power boats;Used boat;;6.12;2.31;;Malta; St.Julians
EUR 15500;Sport Boat;Fjord Plast power boats;Used boat;;6.5;2.5;GRP;Austria; Linz
EUR 15500;Motor Yacht,Sport Boat;Scand power boats;Used boat;;9.2;2.98;GRP;Austria; Donau
EUR 15500;Trawler;Hoekstra power boats;Used boat;;9.5;3.2;Steel;Netherlands; In verkoophaven
EUR 15500;Trawler;Skilsö power boats;Used boat;;7.0;2.5;GRP;Germany; Niedersachsen
EUR 15499;Cabin Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;;5.5;2.29;GRP;Germany; Kieler Bucht mit Fehmarn
EUR 15490;Deck Boat;Jeanneau power boats;new boat from stock;;5.0;2.0;PVC;Slovak Republic; Bratislava
EUR 15446;Center console boat;Jeanneau power boats;new boat on order;;5.48;2.36;GRP;Germany; Bönningstedt / Werft
EUR 15446;Center console boat;Jeanneau power boats;new boat from stock;;6.34;2.48;GRP;Germany;
EUR 15400;Center console boat;Ranieri power boats;new boat from stock;;6.0;2.25;GRP;Italy; Lombardia - Trentino Alto Adige
DKK 114500;Deck Boat;Crescent power boats;;;5.0;1.0;;Denmark; Svendborg
£ 13995;Cabin Boat;Atlanta power boats;Used boat;;7.37;1.85;;United Kingdom; Lincoln
EUR 16490;Deck Boat;Quicksilver power boats;new boat from stock;;4.54;1.85;GRP;Germany; MARINA WASSERSPORT
£ 14950;Center console boat;Buster power boats;new boat from stock;;4.57;1.83;;United Kingdom; Lincoln
CHF 17684;Fishing Boat;VBoats power boats;new boat from stock;;4.7;2.02;Aluminium;Switzerland; Bouveret
EUR 16314;Center console boat;Jeanneau power boats;new boat from stock;;5.48;2.36;GRP;Germany;
CHF 17500;Pilothouse;Milan  power boats;Used boat;;6.19;2.4;GRP;Switzerland; Bielersee
EUR 16304;Deck Boat;Quicksilver power boats;new boat from stock;;4.54;1.85;GRP;Germany; MUENCHEN
EUR 16220;Center console boat;Jeanneau power boats;new boat from stock;;5.48;2.36;GRP;Germany; Bönningstedt / Werft
